pair_key,n_models,feature_a,feature_b,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate
64 || NA_72,2,64,NA_72,76.0,76,0.21052631578947367,0.21052631578947367,0.1927710843373494,0.05128205128205128,3.1781864299302467,3.1781864299302467,interaction_candidate,64(high) AND NA_72(low),1
65 || NA_72,2,65,NA_72,73.0,73,0.2054794520547945,0.2054794520547945,0.18072289156626506,0.04957264957264957,3.101997029212741,3.101997029212741,interaction_candidate,65(high) AND NA_72(low),1
70 || NA_72,2,70,NA_72,24.5,25,0.20416666666666666,0.20833333333333334,0.060240963855421686,0.01666666666666667,3.0821787148594373,3.1450803212851404,interaction_candidate,70(low) AND NA_72(low),1
38 || 64,1,38,64,15.0,15,0.2,0.2,0.03614457831325301,0.010256410256410256,3.0192771084337346,3.0192771084337346,interaction_candidate,38(high) AND 64(high),1
437 || NA_72,1,437,NA_72,10.0,10,0.2,0.2,0.024096385542168676,0.006837606837606838,3.0192771084337346,3.0192771084337346,interaction_candidate,437(high) AND NA_72(low),1
510 || NA_72,2,510,NA_72,31.0,33,0.19226750261233022,0.21212121212121213,0.07228915662650602,0.021367521367521368,2.9025443466656595,3.202263599853961,interaction_candidate,510(high) AND NA_72(low),1
103 || NA_72,2,103,NA_72,28.5,33,0.1893939393939394,0.21212121212121213,0.06626506024096385,0.019658119658119658,2.8591639284410366,3.202263599853961,interaction_candidate,103(high) AND NA_72(low),1
38 || 65,1,38,65,16.0,16,0.1875,0.1875,0.03614457831325301,0.011111111111111112,2.8305722891566263,2.8305722891566263,interaction_candidate,38(high) AND 65(high),1
63 || NA_72,2,63,NA_72,49.0,49,0.1836734693877551,0.1836734693877551,0.10843373493975904,0.03418803418803419,2.7728055077452667,2.7728055077452667,interaction_candidate,63(high) AND NA_72(low),1
28 || NA_72,2,28,NA_72,19.0,19,0.15789473684210525,0.15789473684210525,0.03614457831325301,0.013675213675213675,2.383639822447685,2.383639822447685,interaction_candidate,28(low) AND NA_72(low),1
102 || 14,1,102,14,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,102(low) AND 14(low),0
102 || 21,1,102,21,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,102(low) AND 21(high),0
102 || 64,1,102,64,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,102(low) AND 64(high),0
103 || 56,3,103,56,1.0,1,1.0,1.0,0.01204819277108434,0.0,15.096385542168674,15.096385542168674,review,103(high) AND 56(high),0
107 || 64,1,107,64,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,107(low) AND 64(high),0
129 || 488,1,129,488,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,129(high) AND 488(low),0
14 || 165,1,14,165,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,14(low) AND 165(high),0
14 || 21,2,14,21,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,14(low) AND 21(high),0
14 || 64,2,14,64,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,14(low) AND 64(high),0
437 || 582,1,437,582,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,437(high) AND 582(high),0
437 || 59,1,437,59,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,437(high) AND 59(high),0
56 || 582,2,56,582,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,56(high) AND 582(high),0
582 || 63,2,582,63,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,582(high) AND 63(high),0
582 || 64,2,582,64,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,582(high) AND 64(high),0
582 || 65,2,582,65,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,582(high) AND 65(high),0
582 || 70,2,582,70,1.0,1,1.0,1.0,0.012048192771084338,0.0,15.096385542168674,15.096385542168674,review,582(high) AND 70(low),0
477 || 510,1,477,510,3.0,3,0.6666666666666666,0.6666666666666666,0.024096385542168676,0.0008547008547008547,10.064257028112449,10.064257028112449,review,477(high) AND 510(high),0
477 || 64,2,477,64,2.5,4,0.625,1.0,0.012048192771084338,0.001282051282051282,9.43524096385542,15.096385542168674,review,477(high) AND 64(high),0
21 || 488,1,21,488,5.0,5,0.6,0.6,0.03614457831325301,0.0017094017094017094,9.057831325301203,9.057831325301203,review,21(high) AND 488(low),0
103 || 477,2,103,477,3.0,4,0.5,0.5,0.01807228915662651,0.001282051282051282,7.548192771084337,7.548192771084337,review,103(high) AND 477(high),0
165 || 488,1,165,488,6.0,6,0.5,0.5,0.03614457831325301,0.002564102564102564,7.548192771084337,7.548192771084337,review,165(high) AND 488(low),0
437 || 64,1,437,64,2.0,2,0.5,0.5,0.012048192771084338,0.0008547008547008547,7.548192771084337,7.548192771084337,review,437(high) AND 64(high),0
437 || 65,1,437,65,2.0,2,0.5,0.5,0.012048192771084338,0.0008547008547008547,7.548192771084337,7.548192771084337,review,437(high) AND 65(high),0
510 || 95,1,510,95,4.0,4,0.5,0.5,0.024096385542168676,0.0017094017094017094,7.548192771084337,7.548192771084337,review,510(high) AND 95(high),0
551 || 582,1,551,582,2.0,2,0.5,0.5,0.012048192771084338,0.0008547008547008547,7.548192771084337,7.548192771084337,review,551(high) AND 582(high),0
56 || 59,1,56,59,2.0,2,0.5,0.5,0.012048192771084338,0.0008547008547008547,7.548192771084337,7.548192771084337,review,56(high) AND 59(high),0
59 || 64,5,59,64,2.6,3,0.4666666666666666,1.0,0.012048192771084338,0.0013675213675213675,7.044979919678714,15.096385542168674,review,59(high) AND 64(high),0
348 || 582,3,348,582,2.6666666666666665,3,0.38888888888888884,0.5,0.01204819277108434,0.0014245014245014246,5.870816599732262,7.548192771084337,review,348(high) AND 582(high),0
