feature,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
433,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
434,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
437,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
438,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
439,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
44,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
441,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
442,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
447,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
448,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
45,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
452,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
46,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
460,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
467,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
468,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
47,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
471,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
472,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
473,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
474,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
476,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
477,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
48,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
480,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
482,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
483,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
484,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
485,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
486,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
487,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
488,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
489,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
490,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
496,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
497,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
499,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
500,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
51,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
