feature,n_models,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
41,6,0.04221000695708845,-0.003035744775612548,-0.0647180506299564,-0.12201943089289462,0.04524575173270099,0.057301380262938205,0.05320842452987096,0.20296570898980537,0.20296570898980537,0.18614574186828645,0.37945859784153874
40,1,-0.17332833757746177,0.012196498530649835,0.3889616545437869,0.4442404635267338,-0.1855248361081116,-0.0552788089829469,0.017437212539473612,0.16841725877870456,0.16841725877870456,0.19353147452636096,0.37644512270470104
428,8,-0.08051365399862534,0.006057800126308834,-0.095168249845197,-0.1559747619007941,-0.08657145412493418,0.06080651205559709,-0.04471709803908924,0.20489136031304706,0.20489136031304706,0.16975769435203772,0.37489170629622864
282,6,0.18718970081658112,-0.013700301758300866,0.2858712954028456,-0.1041559593904829,0.20089000257488196,0.3900272547933285,0.34352400518335346,0.18074348676758314,0.18074348676758314,0.2558125924524354,0.37426904278802087
542,1,-0.18300530560501413,0.01411794769140756,-0.6121175618220817,-0.6121175618220817,-0.1971232532964217,0.0,-0.4014134118096149,0.14169498506847905,0.14169498506847905,0.27216528874332147,0.37295171820381245
128,1,0.1521983437867886,-0.013164054281732515,0.2164053087987853,0.011873953302149,0.1653623980685211,0.2045313554966363,-0.10984091313708433,0.16287714962413757,0.16287714962413757,0.2020095006761738,0.37160403075845566
100,5,0.3540306867870301,-0.02481067996746932,0.048074981970692,0.048074981970692,0.3788413667544994,0.0,0.5302111499949047,0.13767892081145094,0.13767892081145094,0.3793183898314181,0.37138508661726827
78,1,-0.15800169446191709,0.013327226109646585,-0.1555187873418476,0.054684129443231,-0.17132892057156368,-0.2102029167850786,0.007315885829280999,0.14715271341777367,0.14715271341777367,0.2510020146260517,0.3709801742016525
452,8,-0.27354000088779873,0.019479005130219353,-0.4043036715763059,-0.06177385250761465,-0.29301900601801806,-0.3425298190686913,-0.584697800508138,0.16670785706930286,0.16670785706930286,0.2987212359131517,0.3662385560221203
63,10,0.26828996516332054,-0.019445723552891328,-0.0809845807401488,-0.1091560821917054,0.28773568871621186,0.028171501451556603,1.2892741930564466,0.15626609000102976,0.15626609000102976,0.32671337698802105,0.36383189003070043
295,10,0.3387913174754383,-0.023719525606852893,-0.0824906996668492,-0.19678010700448434,0.3625108430822912,0.11428940733763512,4.0104022817746765,0.14307486355679128,0.14307486355679128,0.3700334114462767,0.3632219580947408
571,6,-0.06831322743330434,0.004846152031593081,0.3687776556054301,0.0280982101774342,-0.07315937946489742,0.34067944542799583,-0.01492517741176047,0.1637009576768613,0.1637009576768613,0.29612109280244603,0.36315560540474046
11,1,-0.1181373138373627,0.00906150754163715,-0.1106745310009041,0.1370898591695656,-0.12719882137899985,-0.2477643901704697,-0.021679384139916547,0.16174441355164246,0.16174441355164246,0.18099958556652243,0.3586478505455752
