feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation
562,3,0.09439531492153737,0.21667877165066524,0.04892530884497757,0.0454700060765598,0.8214285714285715,0.2791666666666667,-0.4092315825191785,-0.3329889086725124,0.1359691033604077,0.019694035738126368,0.010125803967312393,1.0,low,,,,,,,,,1.9293759640973125,0.1610849019122262,0.46515101661456115,0.09216105402059462,0.9343137310381435,0.3158428496571921,1,1,1,1,monitor_first
102,8,0.09614091738979051,0.28248029790003754,0.058522723113290584,0.03761819427649993,0.8085005676769996,0.5695419520547945,-0.3524779906935076,-0.17111976290430161,0.04379727338307791,0.014647409813836823,0.010379472671926602,1.0,low,,,,,,,,,1.642796375070879,0.1640637595240688,0.4472744931575189,0.08333313951759262,0.92142840951745,0.30861732061214675,1,1,1,1,monitor_first
588,3,0.09282600350441489,0.12167784503781769,0.05502806864467904,0.03779793485973585,0.6485507246376812,0.3171232876712329,0.4134430561298981,0.43495847999552034,0.0,0.0018018018018018018,0.011171093711975286,1.0,high,,,,,,,,,1.686884635254062,0.15840688366622496,0.44768371549170355,0.08475182360438294,0.9261202718433745,0.3072302600192151,1,1,1,1,monitor_first
57,6,0.09843702910735087,0.2834800833129176,0.06549894010217323,0.03293808900517763,0.6333586367054928,0.3979166666666667,-0.3128815334149839,-0.3359964722202577,0.03771551208163784,0.011281208010769603,0.010952706441098685,1.0,low,,,,,,,,,1.5028797252871084,0.16798205706998157,0.4366191165648728,0.07866882244206438,0.9120622618878054,0.3051185484746479,1,1,1,1,monitor_first
159,3,0.09476031507667633,0.24896330366618732,0.06120551481707889,0.03355480025959744,0.7711419015766842,0.15416666666666667,0.5353520449582597,0.08360235937943665,0.08225832138875618,0.0613810687601257,0.010125803967312393,1.0,high,,,,,,,,,1.5482316480774743,0.1617077719586621,0.43802320691835955,0.0802086584719756,0.9178265400232369,0.30391445655569155,1,1,1,1,monitor_first
551,10,0.06545765658160581,0.31880466177675126,0.022334677431169275,0.04312297915043652,0.6704211039545946,0.31210616438356165,0.7493233646710876,0.2658139213001422,0.06274647542098374,0.026223074157616055,0.01076450690178445,1.0,high,,,,,,,,,2.9307634633780757,0.11170300346597363,0.459807449681534,0.11737476367861181,0.9700138504272172,0.3030997740692937,1,1,1,1,monitor_first
32,3,0.07594241156704364,0.19000199339298574,0.04088125105062694,0.0350611605164167,0.8260869565217391,0.25,0.493076757041121,0.20797142857574488,0.023809523809523808,0.008994573262791267,0.0112511054925715,1.0,low,,,,,,,,,1.8576342361195672,0.1295951597642692,0.4414527955472643,0.0900349041154049,0.945113543166027,0.29679223770957064,1,1,1,1,monitor_first
154,3,0.060834987393755736,0.09702886737808161,0.03643257898193201,0.02440240841182374,0.4808488612836439,0.454851598173516,0.2671285704671784,0.23941660524656702,0.038302277432712216,0.016704840433653993,0.010211968446355238,1.0,high,,,,,,,,,1.6697963496881625,0.10381445292385767,0.4171856025894425,0.0842047342931795,0.9510862529337527,0.27863103409838696,1,1,1,1,monitor_first
120,1,0.0607965646638114,0.0607965646638114,0.036572053113335765,0.024224511550475634,0.6428571428571429,0.5125,-0.19462688949964999,-0.23188793266659838,0.0,0.0,0.01015228426395939,1.0,low,,,,,,,,,1.6623776760742568,0.1037488848213578,0.4167805779281536,0.0839661310863361,0.9508989973900496,0.2784168532632614,1,1,1,1,monitor_first
123,3,0.0211587718850122,0.03482702271748541,0.0020422198792283165,0.019116552005783886,0.8333333333333334,0.20833333333333334,0.18572002677793134,0.06089227663232483,0.03372352285395764,0.0368952847519902,0.017917188208456346,1.0,high,,,,,,,,,10.360672766052673,0.03610728664355252,0.4051510889715272,0.20838118152020432,0.9972581510994384,0.27739029276286387,1,1,1,1,monitor_first
NA_112,3,0.027049525044203743,0.04699231381389445,0.004202961988268798,0.022846563055934948,0.75,0.31666666666666665,-0.4707253328516882,-0.3211672718017598,,,,1.0,flat,,,,,,,,,6.435824335243502,0.046159813038811164,0.4136433493225132,0.17203704279311607,0.9943571763139473,0.2764000562022964,1,1,1,1,monitor_first
NA_72,3,0.04251344457826528,0.05731749522336902,0.018641164245211773,0.023872280333053508,0.7857142857142857,0.22083333333333335,-0.4413465700034562,-0.06737327378671021,0.6560359929925147,0.6233163966170702,0.4374171376703104,1.0,low,,,,,,,,,2.2806217476027775,0.07254887655741288,0.41597863949905095,0.10187146248263376,0.9749726970093757,0.27168470467014477,1,1,1,1,monitor_first
100,5,0.04129559924932531,0.07001612907298164,0.02146677873957407,0.019828820509751245,0.8138557095078834,0.4455479452054794,0.5455069884905985,0.25888619548103164,0.05020703933747411,0.02938041361537995,0.012130218977595336,1.0,high,2.0,7.0,7.0,7.0,0.041377144941887656,0.05243716508048185,supervised,ANOVA,1.923697996346175,0.07047063257338017,0.4067727382090685,0.09199468858850957,0.9711790761198827,0.2657369198217628,1,1,1,1,monitor_first
95,3,0.031719693115350445,0.040786456937052115,0.01235718306515529,0.01936251005019515,0.7619047619047619,0.2791666666666666,0.6210754639113046,0.15131161243683544,0.043876413441630825,0.04532465717401418,0.01973086550982035,1.0,high,1.0,9.0,9.0,9.0,0.02829064725358302,0.02829064725358302,supervised,ANOVA,2.5669032293284904,0.05412942007152877,0.40571107115937494,0.109045553886468,0.9834094608784056,0.26351514624155814,1,1,1,1,monitor_first
510,10,0.04374562439017504,0.08966382486149217,0.02707846047962938,0.016667163910545662,0.6859716469334821,0.4513356164383562,1.2287119936867295,0.22585002285061212,0.11708547983065136,0.08216988294236824,0.01032609090133906,1.0,high,5.0,7.6,5.0,10.0,0.025004725757806583,0.04986806785840351,supervised,"ANOVA,RFERF",1.6155137188498607,0.07465158222987864,0.39957447240774346,0.0824433272263395,0.9636449297893287,0.2625861330384752,1,1,1,1,monitor_first
213,1,0.03193192771660301,0.03193192771660301,0.01526497773044647,0.016666949986156542,0.35714285714285715,0.55,0.38051273412092473,0.33497629462717776,0.03571428571428571,0.016216216216216217,0.01015228426395939,1.0,high,,,,,,,,,2.091842404258068,0.05449159683796646,0.39957398535781696,0.09678953796935257,0.979505506320339,0.25897729256843605,1,1,1,1,monitor_first
79,10,0.02900814000372039,0.08056127879363743,0.019241175193133647,0.009766964810586741,0.7289777777293212,0.5096232876712329,0.7395167746915077,0.1532247165235649,0.04893290251555972,0.06311090730563756,0.01032609090133906,1.0,high,1.0,10.0,10.0,10.0,0.02819529128644926,0.02819529128644926,supervised,ANOVA,1.5076074986351227,0.04950217488060181,0.3838645223720413,0.07883064194557732,0.9741671327434427,0.2481430683273128,1,1,1,1,monitor_first
