anchor_rank,feature,monitor_tier,source_type,overall_anchor_score,anchor_recommendation,recommendation,dominant_monitor_direction_all,mean_suggested_threshold,mean_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,appeared_in_topn_models,avg_rank,mean_tp_vs_tn_smd,mean_distribution_sep_score,mean_ks_stat,mean_wasserstein_distance,mean_tp_trigger_rate_all,mean_fp_trigger_rate_all,mean_tn_trigger_rate_all,has_missing_signal,dominant_missing_signal_type,n_corr_companions_095,top_corr_companion,top_corr_companion_abs_corr,has_interaction_support,best_pair_precision_lift,top_pair_rule_desc,redundancy_cluster,cluster_size,normal_mean,normal_std,normal_median,normal_p01,normal_p05,normal_p25,normal_p50,normal_p75,normal_p95,normal_p99,normal_missing_rate,validated_anchor_rank,n_models_x,max_tp_mean_positive_shap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,redundancy_cluster_x,cluster_size_x,threshold_defined_rate,mean_median_gap,mean_p95_gap,score_model_signal,score_distribution_sep,score_stability_anchor,score_fp_penalty_anchor,mean_split_validation_score,validation_pass_rate,direction_consistent_rate,n_models_y,n_drop,n_false_positive_risk,n_monitor_first,n_review,recommendation_consistency_score,validated_anchor_score,split_hard_gate_pass,primary_pool_rank,final_anchor_recommendation,normal_n,anomaly_n,anomaly_mean,anomaly_median,redundancy_cluster_y,cluster_size_y
9,20,review_anchor,raw_feature,0.3610539726582829,drop,monitor_first,high,1.9996529150092448,0.20589599006249562,0.10251485766561438,0.10338113239688124,,,0.349801701144709,0.12062596744960834,0.048573782308722065,0.08975248163437112,0.0,0.010810810810810811,0.01015228426395939,0,,0,,,0,,,,,-0.0041534908012439,1.0103817043606678,0.06606524014986964,-2.713459855470911,-1.3914562453596515,-0.4873329570110401,0.06606524014986964,0.5734667040402671,1.3197637013544128,2.0021827353391224,0.0,11,1,0.20589599006249562,0.6785714285714286,0.4125,0.38377136045427723,0.0,0.010810810810810811,0.01015228426395939,1.0,high,,,,,,,2.008450235907194,0.3513599736481248,0.596999516610584,0.09444500848533502,0.8623653345848783,0.4247693795979799,1,1,1,1,C009,1.0,1.0,0.03162275412348366,0.1905989634897014,0.4247693795979799,0.12270346783622259,0.0,0.8623653345848783,,,,1,1,0,0,0,1.0,0.3610539726582829,0,,drop,1170,83,0.05854920768021374,0.0976879942733533,C009,1.0
45,304,review_anchor,raw_feature,0.3566596704347989,drop,review,low,-1.650890604515242,0.278094617349099,0.2233386277176582,0.05475598963144082,,,0.034918344505446106,0.19063331579629503,0.08145402121305735,0.11788476216217258,0.10714285714285714,0.032432432432432434,0.01015228426395939,0,,0,,,0,,,,,0.00500338434527321,1.0037572951939027,0.09785838552163745,-1.6696576517779504,-1.5249892034960344,-0.9443691980596447,0.09785838552163745,0.7296050793856526,1.5978320148892298,2.3307199642892233,0.0,12,1,0.278094617349099,0.5,0.45,0.05088447057613504,0.10714285714285714,0.032432432432432434,0.01015228426395939,1.0,low,,,,,,,1.2451702609217365,0.47456639341934953,0.48629277434737816,0.06935139214756689,0.700149441747673,0.419599612276234,1,1,0,0,C045,1.0,1.0,-0.10348906720999745,-0.2624297390892325,0.419599612276234,0.19391652915111274,0.0,0.700149441747673,,,,1,1,0,0,0,1.0,0.3566596704347989,0,,drop,1170,83,-0.07549719365417538,-0.00563068168836,C045,1.0
46,59,review_anchor,raw_feature,0.34846055835383566,drop,false_positive_risk,high,2.369932728612891,0.5859972834261808,0.7448331229375826,-0.1588358395114017,10.0,2.1,1.3825184939510358,0.9406482300100725,0.36105447430748633,0.6588396210853033,0.06542035368331779,0.07535039904602607,0.01032609090133906,0,,0,,,0,,,,,-0.04257078479641221,0.976302859989199,-0.2291242514549774,-1.49519931157886,-0.9192142010960587,-0.5051628646394632,-0.2291242514549774,0.076400039787566,1.9956085185254842,2.549708242121219,0.0,13,10,1.552399457054804,0.8236942368343947,0.6491438356164384,0.09182086356419551,0.06542035368331779,0.07535039904602607,0.01032609090133906,1.0,high,1.0,6.0,0.5859972834261808,1.552399457054804,supervised,"ANOVA,Base,RFERF,RFEXGB",0.7867497636450946,1.0,0.0,0.04976799031668043,0.0,0.4099535980633361,1,0,0,0,,,1.0,0.47299129519976796,0.3857481239763052,0.4099535980633361,0.9568486974784913,1.0,0.0,,,,10,0,4,4,2,0.4,0.34846055835383566,0,,drop,1170,83,0.5903329662877204,0.2438670437447905,,
47,448,review_anchor,raw_feature,0.34304410044231576,drop,false_positive_risk,low,-1.1675597065053904,0.3403492379928998,0.3444108458751816,-0.004061607882281826,,,0.11323778416631732,0.1638742813342749,0.08043455874781176,0.07027959945949824,0.0,0.0,0.012182741116751269,0,,0,,,0,,,,,0.0011989200664365538,0.9995596849479185,-0.3373567959331505,-1.0845307584835098,-0.9198190204438568,-0.6205477522636447,-0.3373567959331505,0.0943011042588027,2.3134057819314986,2.687386655098555,0.0,14,1,0.3403492379928998,0.75,0.7625,0.10368735220295225,0.0,0.0,0.012182741116751269,1.0,low,,,,,,,0.9882070848496048,0.5808034399118067,0.3523804763433788,0.058928885449428224,0.5375999868039658,0.40358129463801856,1,0,0,0,,,1.0,-0.03592640332507602,0.1940458627786934,0.40358129463801856,0.16669663285630776,0.0,0.5375999868039658,,,,1,1,0,0,0,1.0,0.34304410044231576,0,,drop,1170,83,-0.01769576846706496,-0.3732831992582265,,
10,75,review_anchor,raw_feature,0.3409697868098107,drop,monitor_first,low,-0.06666036539948261,0.189306682579572,0.10254248734308746,0.08676419523648454,2.0,5.5,0.30877474808806793,0.12765433135174856,0.06194006796416435,0.22259632404193064,0.05952405685489511,0.053850439992011306,0.010379472671926602,0,,0,,,0,,,,,-0.00908623690709515,0.9445957694620971,0.0299309480927111,-3.1196694393141016,-1.5407723333914267,-0.53724910376841,0.0299309480927111,0.6136308072895932,1.363189532137513,2.022484029702837,0.0,15,8,0.5093435475986309,0.6051404276583966,0.44535530821917807,0.3339690331476789,0.05952405685489511,0.053850439992011306,0.010379472671926602,1.0,low,4.0,7.0,0.3769939582781808,0.5093435475986309,supervised,RFEXGB,1.8461292239400067,0.32305044397602456,0.5591670934073477,0.08968898049977528,0.8623282394603166,0.4011409256586009,1,1,1,1,C010,1.0,1.0,0.004405281956202899,0.07775322652698113,0.4011409256586009,0.12985287888130126,0.1111111111111111,0.8623282394603166,,,,8,8,0,0,0,1.0,0.3409697868098107,0,,drop,1170,83,0.12376876132845457,0.034336230048914,C010,1.0
11,348,review_anchor,raw_feature,0.3287612176849936,drop,monitor_first,high,2.7507913517281457,0.1492661771873253,0.05799020234024651,0.09127597484707879,4.0,5.75,1.107298072786463,0.674272220718002,0.2426423643291113,0.5857051879477612,0.05132191149630959,0.031570227234289275,0.01032609090133906,0,,0,,,0,,,,,-0.04040968603611432,0.85205436183412,-0.1841524312444063,-1.0714140141084518,-0.914676102068339,-0.5331804073047296,-0.1841524312444063,0.1729924744917386,1.4274639558899471,3.0740643099270875,0.0,16,10,0.6008928918685454,0.7013821951338487,0.44556506849315064,0.40420512916861695,0.05132191149630959,0.031570227234289275,0.01032609090133906,1.0,high,5.0,8.0,0.16406919877048115,0.6008928918685454,supervised,"Base,RFERF",2.5739895907162786,0.25472161972254026,0.5694392364611558,0.10921574033322372,0.9221433626480839,0.386777903158816,1,1,1,1,C011,1.0,1.0,0.20292324189553704,0.6343380541654486,0.386777903158816,0.6858849839466997,0.3333333333333333,0.9221433626480839,,,,10,3,0,2,5,0.5,0.3287612176849936,0,,drop,1170,83,0.5236829542206037,0.0187708106511307,C011,1.0
48,132,review_anchor,raw_feature,0.3284769218137026,drop,review,high,2.0804810436021297,0.251021260257952,0.21778635249179593,0.03323490776615611,6.0,6.333333333333333,0.1939988542004187,0.25185429678031923,0.12336525589537638,0.2328777129825432,0.0,0.006158329180353081,0.01094236420488929,0,,0,,,0,,,,,-0.0032810726303815784,0.9880660017498545,-0.153901283072972,-2.217534317162704,-1.3640679854169997,-0.7701898814889107,-0.153901283072972,0.727578166782557,1.8238248554800016,2.015453258763211,0.0,17,8,0.4608962641312496,0.4418903281673643,0.36491866438356163,0.06350534679783719,0.0,0.006158329180353081,0.01094236420488929,1.0,high,4.0,10.0,0.3331806384204989,0.4608962641312496,supervised,"Base,RFERF,RFEXGB",1.1526032618017608,0.4283659111699169,0.43729489531228005,0.06574110686856911,0.7076038299252079,0.3864434374278854,1,1,0,0,C046,1.0,1.0,0.2745285574761986,-0.27863714813230045,0.3864434374278854,0.2561918984592459,0.5555555555555556,0.7076038299252079,,,,8,8,0,0,0,1.0,0.3284769218137026,0,,drop,1170,83,0.04142552681563266,0.1206272744032266,C046,1.0
49,60,review_anchor,raw_feature,0.31045749292530717,drop,review,low,-1.4667252341891526,0.235036340330588,0.21635928305310767,0.01867705727748034,,,-0.2480674125679501,0.19225307916280615,0.08614972711358254,0.1059788349216733,0.03571428571428571,0.03783783783783784,0.01015228426395939,0,,0,,,0,,,,,0.004461875257770034,1.001349310940621,-0.22634868615507947,-1.4909194211702697,-1.2669317335016113,-0.7434018756707486,-0.22634868615507947,0.7475946461710152,1.6824627444470979,2.3365909542264416,0.0,18,1,0.235036340330588,0.39285714285714285,0.375,-0.0648206869082665,0.03571428571428571,0.03783783783783784,0.01015228426395939,1.0,low,,,,,,,1.0863242705093261,0.4010877643602523,0.4041504743338069,0.06305941212809581,0.7095197885402866,0.3652441093238908,1,1,0,0,C047,1.0,1.0,-0.06677765791758034,-0.1307773453222445,0.3652441093238908,0.19556418915622745,0.0,0.7095197885402866,,,,1,1,0,0,0,1.0,0.31045749292530717,0,,drop,1170,83,-0.0415258283403607,-0.2931263440726598,C047,1.0
50,221,review_anchor,raw_feature,0.30988696541613203,drop,review,low,-1.5173981811192565,0.2186048135156587,0.19034073362989373,0.02826407988576496,,,-0.0592033689620368,0.13938171104328537,0.04576253732880239,0.13437070927723993,0.0,0.010810810810810811,0.012182741116751269,0,,0,,,0,,,,,-0.006748402512639788,0.9760620491401525,0.02568754966472735,-1.5173981811192565,-1.3590232240068918,-0.8817581505466584,0.02568754966472735,0.682729601468726,1.5901753016801117,2.202273108898165,0.0,19,1,0.2186048135156587,0.5,0.4625,0.034991560038260545,0.0,0.010810810810810811,0.012182741116751269,1.0,low,,,,,,,1.1484920192685755,0.3730474862230257,0.4259776193169416,0.06557718072841279,0.7444518405959177,0.3645729004895671,1,1,0,0,C048,1.0,1.0,-0.08346788280246215,-0.05992565944792183,0.3645729004895671,0.14178223528115602,0.0,0.7444518405959177,,,,1,1,0,0,0,1.0,0.30988696541613203,0,,drop,1170,83,0.09512808361191026,-0.0577803331377348,C048,1.0
12,21,review_anchor,raw_feature,0.30661281017201825,drop,monitor_first,high,1.5014229853996803,0.15532280168720422,0.09376738090543094,0.061555420781773285,2.0,7.5,0.796851482303359,0.48464107107720855,0.17966223869838327,0.4618921928433132,0.09938026394581205,0.060297829343139764,0.01032609090133906,0,,0,,,0,,,,,-0.02926183058165467,0.9410933355474757,0.1472925971725681,-1.5840547086231043,-1.3557067275993182,-0.5698817010957874,0.1472925971725681,0.4018978547181331,0.8324390923228757,3.9732740041314347,0.0,20,10,0.4360840612234356,0.7227573275687086,0.48087328767123283,0.25983342315676977,0.09938026394581205,0.060297829343139764,0.01032609090133906,1.0,high,6.0,9.0,0.3836452702731622,0.4360840612234356,supervised,"RFERF,RFEXGB",1.6564694479827158,0.2650572043253687,0.5017733020967233,0.08377563152916931,0.8741095447855255,0.3607209531435509,1,1,1,1,C012,1.0,1.0,0.10728525182400261,3.454723159608369,0.3607209531435509,0.4929878809210563,0.1111111111111111,0.8741095447855255,,,,10,6,0,1,3,0.6,0.30661281017201825,0,,drop,1170,83,0.41379949742376393,0.2545778489965707,C012,1.0
