feature,anova_score,p_value,selected
497,1.992976665490185,0.15827866173294436,False
101,1.988851568702017,0.15870959319365974,False
332,1.898881548837006,0.16844998472586942,False
227,1.8054608873108156,0.1792973582651059,False
271,1.7856304965030598,0.18170245216166375,False
183,1.7676103508565337,0.18392047523498783,False
476,1.6734668292275474,0.19603361937611516,False
468,1.6602110824336747,0.1978130684522748,False
344,1.5927318064858123,0.20717150359482905,False
62,1.5594359573759349,0.2119814571512225,False
567,1.5039011009444458,0.22030286290073586,False
98,1.4974080546019268,0.22130103188897365,False
561,1.4822464176872434,0.22365297827111236,False
433,1.4305167227391165,0.2319067702409199,False
126,1.3997598470377632,0.23698857056217246,False
522,1.3951721188341226,0.23775809383779775,False
75,1.385807031460266,0.23933838933993584,False
37,1.3564504618213877,0.244375640733117,False
425,1.3144596009933214,0.25180804600671747,False
560,1.2924565970565554,0.2558134379819642,False
NA_109,1.2843970977735337,0.25730021160434496,False
19,1.2839738118052397,0.25737859177169725,False
588,1.27632965179094,0.25879916002740033,False
11,1.2547826292107402,0.26285598728129517,False
134,1.2462418092340457,0.26448586027054494,False
0,1.2460070643010888,0.2645308346107325,False
483,1.2208403840463273,0.2694082486378899,False
447,1.2103543773496113,0.27147360264851417,False
181,1.1967677317861598,0.2741792567657623,False
10,1.1653718726229705,0.2805623251873742,False
83,1.1408573129307262,0.28567730972568095,False
324,1.124751836758554,0.2891022634965607,False
61,1.0759887810481668,0.299797083270647,False
555,1.0401809822518493,0.30797657426832603,False
546,1.0385216996542412,0.3083625709820586,False
89,0.994358911989782,0.31887218316246846,False
NA_578,0.9874948200545073,0.3205476007388619,False
87,0.9699830957892468,0.324874832208932,False
499,0.9685384144845343,0.3252352581911747,False
44,0.9104295671059102,0.34018479748461916,False
521,0.9024630393105773,0.34230562309616785,False
442,0.8766467663799861,0.34930245712165386,False
88,0.8586707269917968,0.3542896770765882,False
339,0.8527105675726653,0.3559647284513666,False
131,0.8483039503933858,0.35721016071836853,False
586,0.8409832762692613,0.3592924580049207,False
490,0.8402901927999842,0.3594904639090206,False
182,0.823727587633003,0.3642673489894056,False
574,0.8157493012098906,0.36659978444942465,False
221,0.8036110989542385,0.37018836587425963,False
296,0.79180040361329,0.37372735926396694,False
106,0.7350036309534546,0.3914303143777239,False
362,0.6952644159678905,0.40453868762496725,False
424,0.6947245050219184,0.40472114437013673,False
439,0.6943615045755345,0.40484388379948033,False
366,0.6724646241543778,0.41234985696829674,False
82,0.6680990731829485,0.41387078035743596,False
273,0.6594289463773811,0.4169161083383147,False
489,0.64064230445029,0.42363027504069917,False
419,0.6394170568512606,0.4240737723105631,False
NA_85,0.6234599082895936,0.42991408910684614,False
6,0.6163788982663547,0.4325447542877089,False
487,0.6128264512859302,0.4338737427069921,False
47,0.6096539664342496,0.43506584810293447,False
428,0.5828779627743722,0.4453304094856887,False
108,0.5599159611726354,0.4544347525290471,False
482,0.5548607892727315,0.45647826257521695,False
154,0.5426713136510026,0.4614658711551326,False
91,0.5219302696435774,0.470154470425615,False
86,0.5207655750879757,0.47065014362731505,False
71,0.5081156153737162,0.47608866550048834,False
304,0.5019716290586569,0.4787670787318914,False
248,0.49603498999896445,0.4813785950430701,False
139,0.45584683541312754,0.4996961501667021,False
357,0.44609081213403007,0.5043204318905994,False
438,0.4460051528048981,0.504361356912491,False
92,0.4445660133577843,0.5050497784043865,False
24,0.43124180676004953,0.5115010196004723,False
566,0.43121897681284577,0.5115121952894149,False
217,0.4211369520402835,0.5164893848867835,False
571,0.4142885665082893,0.5199187597230672,False
302,0.4045105757005428,0.5248852890442519,False
77,0.4038493675172139,0.5252241734723707,False
309,0.39770987691902815,0.5283895341215514,False
352,0.3888192524417756,0.5330343778041371,False
563,0.38391089595910344,0.5356304161055692,False
480,0.3785278681227678,0.5385040514252978,False
29,0.36543637373424637,0.5456120246701829,False
9,0.35798871592226167,0.5497336859106274,False
275,0.3400864020413126,0.5598844630522462,False
354,0.3291966414111718,0.5662356510948476,False
118,0.3163008380305959,0.5739399924547296,False
269,0.3068446686111063,0.5797219044253694,False
20,0.3042966779557571,0.5812997615562716,False
418,0.2996766080891967,0.5841828754616896,False
120,0.2900733197354131,0.5902693670150592,False
408,0.28311475372723105,0.5947614056778424,False
525,0.280421312091637,0.5965191646633969,False
1,0.2527618987570798,0.6152255113833436,False
523,0.2474204259164791,0.6189847327233526,False
368,0.23185064268527422,0.6302392016348596,False
589,0.2273942174219995,0.6335460294285657,False
544,0.2036035875003716,0.6519059282265465,False
485,0.19676081351678074,0.6574249315142433,False
474,0.19476999850248314,0.6590521551497673,False
48,0.18508390405272485,0.6671142320355627,False
406,0.17771466586316784,0.6734170455867614,False
7,0.1740395276760636,0.6766180031778557,False
60,0.16412654926786974,0.6854546399978236,False
41,0.16095252095033472,0.688349579008916,False
132,0.15534928094241773,0.6935421008677622,False
353,0.15092038444192266,0.6977234560946606,False
34,0.14082593401682678,0.7075249131950527,False
17,0.13373369950712174,0.7146536186586168,False
96,0.12425953997217484,0.7245191970901863,False
349,0.12409176171425615,0.7246976633601686,False
43,0.12345702621529321,0.7253740634023053,False
585,0.11569992724951246,0.7338029927658489,False
285,0.11557171798498621,0.7339449206066985,False
162,0.1068783037538033,0.7437812132522433,False
23,0.1050720211885926,0.7458800638410863,False
8,0.10419023383512427,0.7469119223569844,False
472,0.1033735435614093,0.7478719146507056,False
570,0.09698725027646274,0.7555273411849612,False
35,0.08751360045183323,0.7674113156744938,False
46,0.08672709785011785,0.7684288109536915,False
338,0.08155125303106729,0.7752533794687819,False
184,0.08108608994142787,0.7758780660664351,False
168,0.08027311560231257,0.7769745111930271,False
548,0.07931735881178247,0.7782712234774596,False
18,0.07416404457880142,0.7854126448536205,False
277,0.07195624004494391,0.7885537294618119,False
113,0.07182466548629574,0.7887425445925764,False
223,0.06843282422551637,0.7936754642895252,False
252,0.0676088935322501,0.7948933682427546,False
185,0.062497224986997245,0.8026326861055808,False
51,0.05658084040942047,0.8120229899160301,False
254,0.05445808845663243,0.8155180546324672,False
156,0.0469258197894359,0.8285369471538974,False
376,0.03981325996475142,0.8418785686005563,False
173,0.039678312873825734,0.8421432381434684,False
393,0.03428029174655454,0.8531418859189528,False
15,0.03180314467510159,0.8584892681544788,False
2,0.030030146893273327,0.862449878509607,False
448,0.027647344619986997,0.8679674812865317,False
432,0.026472974073721796,0.8707768491695125,False
116,0.02351774230559968,0.8781430974416482,False
500,0.02328859034566113,0.8787336042601511,False
412,0.01996374850211793,0.887661125193594,False
119,0.01538242239555988,0.9013146970477948,False
NA_157,0.013205289341026598,0.9085315155080809,False
55,0.012939668553136455,0.9094521157974975,False
323,0.01067553856568328,0.9177235807323897,False
45,0.010227810048108693,0.9194613768671693,False
367,0.007318324675969981,0.9318400557093596,False
84,0.0064846452940357634,0.935830768345073,False
39,0.005071782047166018,0.9432368763416256,False
53,0.0049473512145906074,0.9439363492943251,False
212,0.004631094153370578,0.9457550012387891,False
405,0.004184177005091042,0.9484349695890811,False
496,0.0024963935899405907,0.9601591136042119,False
81,0.0020793205496792947,0.9636366915972226,False
473,4.6464466748786066e-05,0.9945623608328698,False
552,2.9558546552668314e-05,0.9956629675770869,False
