n_features,mean_score,std_score
176,0.2370594031004877,0.06408858883486356
177,0.23801112089209248,0.060238178501653764
178,0.23077278875394622,0.054566838374600524
179,0.2379976706482012,0.06985739516656042
180,0.23957758827229753,0.059821541945695916
181,0.24806668261543113,0.07398718705280269
182,0.22528159071372683,0.05506395320356296
183,0.24293000536675172,0.06644883119099773
184,0.22847511230682285,0.061539653954924466
185,0.23023502049481248,0.06163816161354213
186,0.2392199168530432,0.07288777706174504
187,0.2323846463019465,0.07413995352963257
188,0.2506124010475491,0.0736300925542557
189,0.21969172659136285,0.06089712356178807
190,0.24382261048008314,0.073276059328018
191,0.22647529644021538,0.06346727703965918
192,0.22461283628397138,0.043396010970453834
193,0.23292512432432294,0.06883038423432779
194,0.2310414334226702,0.08068788168504178
195,0.23801023269802718,0.06034419519366784
196,0.24043242555399197,0.07533198107558903
197,0.2236868645059852,0.06150028524010047
198,0.250125964851294,0.07673134481107236
199,0.23314115522760023,0.07886882947024809
200,0.262401153191501,0.07922506212039471
201,0.24929008649455403,0.07073611844190202
202,0.2346046367666847,0.08692656461281863
203,0.23814882140620325,0.06199411814081958
204,0.24248372548456532,0.059083235600889246
205,0.24895460998321067,0.08655046777274687
206,0.2370488934526381,0.07089178707809117
207,0.24770147917545673,0.0646465983643433
208,0.23499563713488153,0.06919893004467657
209,0.22393472360647165,0.06140457106573188
210,0.24037977129947324,0.07005413036722682
211,0.23871786911500234,0.07760802926653089
212,0.2296932394186631,0.057223655780385616
213,0.23278714586568733,0.06930208608229359
214,0.23012646111317075,0.06460045349184988
215,0.2346968758221461,0.06711986405320788
216,0.2356800096994484,0.07204938063236031
217,0.2425565920383927,0.07156453976474217
218,0.23563231301434534,0.0811936456167232
219,0.24369859523594775,0.07280531155503422
220,0.2395149403300111,0.09151925956571548
221,0.24024320005353728,0.08181126393953093
222,0.24230315781621461,0.06302830150107393
223,0.2289245611188997,0.07506948057121873
224,0.23276967219722952,0.052494427781767904
225,0.2348789544993763,0.06799901478498419
226,0.2332701587866713,0.08057102104315324
227,0.24872659123198648,0.06882094570913225
228,0.23281423360937112,0.08108794607205183
229,0.22817579381095748,0.06664748557663969
230,0.225581118531914,0.07293984824744654
231,0.2251131543193054,0.0608080695021376
232,0.249399658248206,0.07555828204724423
233,0.24001082577520264,0.0676945287059996
234,0.23599723702835326,0.06687948776601475
235,0.22161731892774422,0.07173632263703568
236,0.23650723282850658,0.06956454509607307
237,0.23675232488162967,0.08289102100325076
238,0.2369024735267214,0.07961619023031791
239,0.2452912112527847,0.08091431957218395
240,0.232994461671418,0.07648735807182006
241,0.22449524717946487,0.060689198224388057
242,0.22531993785507423,0.06587521240303983
243,0.2388140882873075,0.07400013051806474
244,0.23238668808826063,0.07556807806993464
245,0.2343964360461781,0.0854604476219521
246,0.2403376351134036,0.07163996546916333
247,0.23225509584666973,0.07502736129743577
248,0.24992985289162037,0.0654478386982392
249,0.2518819654334813,0.07753297223842316
250,0.23750278253179496,0.06793067766061439
251,0.2501716830839125,0.05518722905450914
252,0.23126900776643886,0.07250852914873451
253,0.2381494474178564,0.06435523238056624
254,0.24860997237784654,0.06707079638436407
255,0.24026652235541945,0.07317246266031836
256,0.23567973700506326,0.08035135714029433
