n_features,mean_score,std_score
129,0.22907627258587318,0.06167583673403493
130,0.24867351160561552,0.07409391970020221
131,0.2612237486804895,0.08157156882498626
132,0.2398209264000656,0.0643768279343697
133,0.23766711504824975,0.06963171542816331
134,0.27058900112909967,0.08912263139807904
135,0.24560188749348857,0.07111428105685239
136,0.23165889219804076,0.08339219848662997
137,0.2400692420853944,0.0754700998329025
138,0.24200264365795862,0.06929023803204297
139,0.23629580440425446,0.06982668938350976
140,0.23529385467816097,0.06471278792035633
141,0.23202886652243965,0.06282178444627244
142,0.26939478370706704,0.07993932392101524
143,0.2323669279058384,0.05922646275310365
144,0.2590833177200972,0.08972821053987498
145,0.2435379604245632,0.06839741087114205
146,0.2504219489035059,0.0803530644518044
147,0.24339747206409026,0.0687041941592337
148,0.23001984135800696,0.057633802651505334
149,0.2537094179558593,0.07670278915899405
150,0.24350796812623057,0.07106618796946007
151,0.27166444735433787,0.0954798881447301
152,0.23232540281199543,0.07319799887591755
153,0.2733908984004346,0.08354051588156776
154,0.23235840126491375,0.06552017064977636
155,0.23524426990347655,0.07678549415626332
156,0.23976953980984123,0.05368634414064479
157,0.24490344811157733,0.07086044905797402
158,0.2596054621392698,0.10384337448815795
159,0.2444426809257493,0.06910774232793125
160,0.26053890012007186,0.08643571043185146
161,0.23506185339312582,0.06859867900541806
162,0.26017808753137606,0.05708764715738827
163,0.25277431514176596,0.08427124157707223
164,0.24376195699863992,0.06520742189021529
165,0.2515768119191145,0.07026336092274497
166,0.2494210729401943,0.06263460337190203
167,0.24874846703734166,0.08961773889676233
168,0.24497358594134383,0.06970582346857074
169,0.2511934907270449,0.08654261425795226
170,0.23736998766209166,0.060513399485068065
171,0.2629690659975981,0.08003865975294185
172,0.2459559913609734,0.08349496737296881
173,0.25739564217839495,0.09362722977242391
174,0.2382339973782746,0.06757670784393138
175,0.22411067363956844,0.06570644249350031
176,0.24872868960491684,0.08873807887403515
177,0.2528905002779184,0.08886479256494732
178,0.2649207320959667,0.08602353883822232
179,0.26525984194627983,0.08349990718173025
180,0.2681052048244216,0.055761010053527786
181,0.25363765747860567,0.0724093026504485
182,0.22462294334474522,0.07600669183017827
183,0.23324498983623587,0.07403916607391622
184,0.2523176363508294,0.06931638735420387
185,0.2389179814464475,0.056605070908037805
186,0.2539556384998479,0.07557987576525119
187,0.2480376643196523,0.06928900897977831
188,0.2538722073793641,0.0840419943527417
189,0.24563383585191145,0.07176537996147941
190,0.24265976502353834,0.06456064782375166
191,0.25428710244133246,0.08148836441967001
192,0.26043573734675474,0.09018115872994843
193,0.24592100680455764,0.07239150311417059
194,0.26263633354270116,0.07344189949745501
195,0.2579636398621531,0.06581659939152214
196,0.25849874701241365,0.08672756778361863
197,0.2561133421282206,0.0894372357327004
198,0.24869258067428693,0.07879148326278733
199,0.2508860527854685,0.06970598456056065
200,0.2359209711164154,0.062301991106832245
201,0.2809428787055477,0.11363305533393281
202,0.2504418596348251,0.06676712270600524
203,0.23258359894570863,0.06428808280842369
204,0.26736398214545326,0.08698858787612113
205,0.24173170985615117,0.06125631280712067
206,0.2566686056290954,0.07121278107299397
207,0.26798574380580786,0.08546219621778466
208,0.2455852746227784,0.0738433566211422
209,0.23732470101748002,0.0747263677449687
210,0.2427950928832013,0.08478201527110744
211,0.2618199705022281,0.09354979392528105
212,0.2472602865668941,0.08973718071069768
213,0.2648899398449668,0.08921578286409299
214,0.25404197414032825,0.08587797075792054
215,0.2430555326639837,0.05369662654645013
216,0.24126547507645207,0.05316490839327751
217,0.2473895787782459,0.07911956318746692
218,0.2432299284180645,0.06274623205641996
219,0.24443984400959798,0.06620058331981551
220,0.2549206692433913,0.07077286195574839
221,0.2402514812997274,0.07473378617030207
222,0.26637875237284236,0.07513792432288911
223,0.27180968800143374,0.05818021418612252
224,0.26512804858519445,0.05225165689605057
225,0.24660213080170235,0.05774049477416704
226,0.25473353138055227,0.09370632535430126
227,0.2598656388227687,0.07717688798023699
228,0.24202077217409462,0.06601180086648507
229,0.2528663573184841,0.06943969402489758
230,0.2663721923148643,0.07817747325413307
231,0.2516470176709763,0.07539291320120814
232,0.25232313094921877,0.06347838432945295
233,0.244559645936196,0.05463881361434366
234,0.2826990656393572,0.08410920519350892
235,0.2668120116065969,0.08916222397770869
236,0.2579968799409037,0.08287510789006369
237,0.2576627256889371,0.07848358508315069
238,0.2473874689055458,0.06578046536593385
239,0.2354217545687324,0.06369350145014287
240,0.24379065052144452,0.07735689440370003
241,0.2631864075166486,0.08442376625468212
242,0.2651263684883846,0.0823090579040323
243,0.2577589528362652,0.09144464639899366
244,0.25719951697412424,0.07078739142654666
245,0.23882655815930712,0.07045824436967955
246,0.2867611960065118,0.08036925068554138
247,0.25437933332061263,0.08331423174857419
248,0.2489448897239872,0.06796580307303447
249,0.24947821498789774,0.0703812016793344
250,0.2522462531136236,0.07795955655276508
251,0.24526820984500652,0.05535641341097627
252,0.2650569010684655,0.08571599690464639
253,0.2344362863655062,0.08199471192555974
254,0.2432243686792317,0.06888970752493993
255,0.23446815437527868,0.07401899624148146
256,0.26597352881037334,0.07170557121765804
