rank,feature_set,category,model,balance_method,cv_ap,val_best_f1,best_params,roc_auc,average_precision,balanced_accuracy,recall,specificity,mcc,f1_score,false_positive,false_negative,true_negative,true_positive,type1_cost,type2_cost,overall_cost,predicted_positive,threshold
26,RFEXGB,supervised,HistGB,SMOTE,0.29952622390453143,0.37037037037037035,"{""sampler__sampling_strategy"": 0.3, ""clf__base_estimator__min_samples_leaf"": 40, ""clf__base_estimator__max_iter"": 300, ""clf__base_estimator__max_depth"": 10, ""clf__base_estimator__learning_rate"": 0.05, ""clf__base_estimator__l2_regularization"": 0.0}",0.6938078985860555,0.1439368739991842,0.5441248171623598,0.14285714285714285,0.9453924914675768,0.0924631242052298,0.15,16,18,277,3,16.0,180.0,196.0,19,0.025865755723015783
27,ANOVA,supervised,SVM,SMOTE,0.2512464005782957,0.16326530612244897,"{""sampler__sampling_strategy"": 0.2, ""clf__kernel"": ""rbf"", ""clf__gamma"": 0.01, ""clf__C"": 2.0}",0.6939704209328783,0.1937952635269465,0.5600520071509832,0.8095238095238095,0.310580204778157,0.06531563009116483,0.14166666666666666,202,4,91,17,202.0,40.0,242.0,219,0.025051534289799785
28,ANOVA,supervised,LR,ROSE,0.22062112190646235,0.21052631578947367,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6505769543312205,0.12026377547164888,0.5372176174223956,0.19047619047619047,0.8839590443686007,0.057013234608884716,0.13559322033898305,34,17,259,4,34.0,170.0,204.0,38,0.18733852189306002
29,ANOVA,supervised,LR,NoResample,0.22088417632474347,0.3,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6496018202502845,0.12857370747239152,0.5338046481391191,0.19047619047619047,0.8771331058020477,0.05065759831945425,0.13114754098360656,36,17,257,4,36.0,170.0,206.0,40,0.13373405509029576
30,ANOVA,supervised,LR,class_weight,0.22088417632474347,0.3,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__class_weight"": {""0"": 1, ""1"": 1}, ""clf__C"": 1.0}",0.6496018202502845,0.12857370747239152,0.5338046481391191,0.19047619047619047,0.8771331058020477,0.05065759831945425,0.13114754098360656,36,17,257,4,36.0,170.0,206.0,40,0.13373405509029576
31,RFEXGB,supervised,XGB,SMOTE,0.29755842582090597,0.25,"{""sampler__sampling_strategy"": 0.5, ""clf__subsample"": 1.0, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.3, ""clf__n_estimators"": 600, ""clf__min_child_weight"": 1, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__colsample_bytree"": 0.8}",0.6955956444011051,0.16531506801951562,0.5339671704859419,0.09523809523809523,0.9726962457337884,0.09664870347621844,0.12903225806451613,8,19,285,2,8.0,190.0,198.0,10,0.26203342769919463
32,ANOVA,supervised,LR,SMOTE,0.20855222100619467,0.2857142857142857,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6556151470827238,0.14136515471876412,0.5321794246708923,0.14285714285714285,0.9215017064846417,0.05834032048280743,0.1276595744680851,23,18,270,3,23.0,180.0,203.0,26,0.234907487992486
33,RFEXGB,supervised,HistGB,class_weight,0.2809210545901123,0.24,"{""clf__class_weight"": {""0"": 1, ""1"": 5}, ""clf__base_estimator__min_samples_leaf"": 40, ""clf__base_estimator__max_iter"": 300, ""clf__base_estimator__max_depth"": 5, ""clf__base_estimator__learning_rate"": 0.1, ""clf__base_estimator__l2_regularization"": 0.1}",0.684706647163985,0.13025456539545435,0.5288477165610271,0.09523809523809523,0.962457337883959,0.07234857333751472,0.11764705882352941,11,19,282,2,11.0,190.0,201.0,13,0.038970231065568475
34,RFEXGB,supervised,XGB,class_weight,0.29168631193321637,0.18181818181818182,"{""clf__subsample"": 0.9, ""clf__scale_pos_weight"": 2, ""clf__reg_lambda"": 1.5, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 1, ""clf__max_depth"": 6, ""clf__learning_rate"": 0.08, ""clf__colsample_bytree"": 0.7}",0.6689419795221843,0.11891304474460007,0.5288477165610271,0.09523809523809523,0.962457337883959,0.07234857333751472,0.11764705882352941,11,19,282,2,11.0,190.0,201.0,13,0.11409070858516586
35,RFEXGB,supervised,LR,ROSE,0.22366917715512366,0.3125,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7271249796847067,0.20323044687350655,0.5237282626361124,0.09523809523809523,0.9522184300341296,0.053910240657149375,0.10810810810810811,14,19,279,2,14.0,190.0,204.0,16,0.3204499804927773
36,RFEXGB,supervised,HistGB,ROSE,0.2715431839177965,0.19047619047619047,"{""sampler__sampling_strategy"": 0.1, ""clf__base_estimator__min_samples_leaf"": 60, ""clf__base_estimator__max_iter"": 200, ""clf__base_estimator__max_depth"": 5, ""clf__base_estimator__learning_rate"": 0.05, ""clf__base_estimator__l2_regularization"": 0.1}",0.7367137981472454,0.14834842266442097,0.5169835852429709,0.047619047619047616,0.9863481228668942,0.06778577826977226,0.07692307692307693,4,20,289,1,4.0,200.0,204.0,5,0.2727805474602132
37,RFEXGB,supervised,XGB,NoResample,0.280555642148763,0.19047619047619047,"{""clf__subsample"": 0.8, ""clf__reg_lambda"": 3.0, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.08, ""clf__colsample_bytree"": 1.0}",0.7116853567365512,0.17994374087432097,0.5152771006013327,0.047619047619047616,0.9829351535836177,0.055752379572326594,0.07407407407407407,5,20,288,1,5.0,200.0,205.0,6,0.1673653409732231
38,RFEXGB,supervised,HistGB,NoResample,0.2966925008373848,0.19047619047619047,"{""clf__base_estimator__min_samples_leaf"": 20, ""clf__base_estimator__max_iter"": 200, ""clf__base_estimator__max_depth"": null, ""clf__base_estimator__learning_rate"": 0.1, ""clf__base_estimator__l2_regularization"": 0.0}",0.6845441248171623,0.13593772937433313,0.5135706159596944,0.047619047619047616,0.9795221843003413,0.045925596505613724,0.07142857142857142,6,20,287,1,6.0,200.0,206.0,7,0.015166673819839566
39,RFEXGB,supervised,XGB,ROSE,0.2768882710116606,0.2608695652173913,"{""sampler__sampling_strategy"": 0.1, ""clf__subsample"": 0.7, ""clf__reg_lambda"": 1.5, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 1, ""clf__max_depth"": 6, ""clf__learning_rate"": 0.08, ""clf__colsample_bytree"": 0.7}",0.7027466276613035,0.12460525169898751,0.4863481228668942,0.0,0.9726962457337884,-0.04328726206963326,0.0,8,21,285,0,8.0,210.0,218.0,8,0.14405608184643828
